seg_id,pci,pci_desc
SS-000590-PV1,91,Good
SS-000591-PV1,90.86,Good
SS-000592-PV1,86.1,Good
SS-000594-PV1,100,Good
SS-000595-PV1,100,Good
SS-000596-PV1,0.66,Failed
SS-000597-PV1,21.55,Serious
SS-000598-PV1,8,Failed
SS-000600-PV1,52,Poor
SS-000601-PV1,45.78,Poor
SS-000602-PV1,26.9,Very Poor
SS-000603-PV1,28.15,Very Poor
SS-000604-PV1,26.06,Very Poor
SS-000605-PV1,39.9,Very Poor
SS-000606-PV1,95.29,Good
SS-000607-PV1,33.69,Very Poor
SS-000608-PV1,80.49,Satisfactory
SS-000609-PV1,19.93,Serious
SS-000610-PV1,84.08,Satisfactory
SS-000611-PV1,58.98,Fair
SS-000612-PV1,51.53,Poor
SS-000613-PV1,55.94,Fair
SS-000614-PV1,61.86,Fair
SS-000615-PV1,61,Fair
SS-000616-PV1,58.87,Fair
SS-000617-PV1,84.99,Satisfactory
SS-000618-PV1,67.06,Fair
SS-000619-PV1,86.42,Good
SS-000622-PV1,94.2,Good
SS-000623-PV1,54.97,Poor
SS-000624-PV1,67.63,Fair
SS-000625-PV1,100,Good
SS-000626-PV1,100,Good
SS-000627-PV1,100,Good
SS-000628-PV1,71.44,Satisfactory
SS-000629-PV1,30,Very Poor
SS-000630-PV1,37.51,Very Poor
SS-000631-PV1,26.39,Very Poor
SS-000632-PV1,25.67,Very Poor
SS-000635-PV1,54,Poor
SS-000636-PV1,65.25,Fair
SS-000637-PV1,63.08,Fair
SS-000638-PV1,56.93,Fair
SS-000639-PV1,71.03,Satisfactory
SS-000641-PV1,64.86,Fair
SS-000642-PV1,76.21,Satisfactory
SS-000643-PV1,84.91,Satisfactory
SS-000644-PV1,54,Poor
SS-000645-PV1,63.43,Fair
SS-000646-PV1,65.28,Fair
SS-000647-PV1,85.06,Good
SS-000648-PV1,95.74,Good
SS-000649-PV1,94.99,Good
SS-000650-PV1,51.86,Poor
SS-000651-PV1,67,Fair
SS-000652-PV1,96.27,Good
SS-000653-PV1,95.69,Good
SS-000654-PV1,95.7,Good
SS-000655-PV1,95.15,Good
SS-000656-PV1,30.88,Very Poor
SS-000657-PV1,49.85,Poor
SS-000658-PV1,93.06,Good
SS-000659-PV1,88.51,Good
SS-000660-PV1,79.58,Satisfactory
SS-000661-PV1,92.09,Good
SS-000662-PV1,91.9,Good
SS-000663-PV1,94.69,Good
SS-000664-PV1,88.33,Good
SS-000665-PV1,100,Good
SS-000666-PV1,100,Good
SS-000667-PV1,100,Good
SS-000668-PV1,100,Good
SS-000669-PV1,100,Good
SS-000670-PV1,97.17,Good
SS-000674-PV1,54,Poor
SS-000676-PV1,90,Good
SS-000677-PV1,100,Good
SS-000678-PV1,100,Good
SS-000679-PV1,66.87,Fair
SS-000680-PV1,97.2,Good
SS-000681-PV1,30.22,Very Poor
SS-000682-PV1,40,Poor
SS-000683-PV1,51.34,Poor
SS-000684-PV1,49.09,Poor
SS-000685-PV1,40.59,Poor
SS-000686-PV1,75.26,Satisfactory
SS-000687-PV1,55.66,Fair
SS-000688-PV1,53.73,Poor
SS-000689-PV1,90,Good
SS-000690-PV1,93.28,Good
SS-000691-PV1,96.05,Good
SS-000692-PV1,96.77,Good
SS-000693-PV1,5.3,Failed
SS-000694-PV1,56.28,Fair
SS-000695-PV1,34.68,Very Poor
SS-000696-PV1,41.39,Poor
SS-000697-PV1,25.68,Very Poor
SS-000698-PV1,71.68,Satisfactory
SS-000699-PV1,76.12,Satisfactory
SS-000700-PV1,55.96,Fair
SS-000701-PV1,49,Poor
SS-000702-PV1,98.49,Good
SS-000703-PV1,98.56,Good
SS-000704-PV1,36.08,Very Poor
SS-000705-PV1,43.63,Poor
SS-000706-PV1,63.61,Fair
SS-000707-PV1,27.76,Very Poor
SS-000708-PV1,92.76,Good
SS-000709-PV1,96.28,Good
SS-000710-PV1,91.63,Good
SS-000711-PV1,95.09,Good
SS-000712-PV1,42.8,Poor
SS-000713-PV1,89,Good
SS-000714-PV1,91.86,Good
SS-000716-PV1,45.25,Poor
SS-000718-PV1,,
SS-000719-PV1,98.06,Good
SS-000720-PV1,56,Fair
SS-000721-PV1,56,Fair
SS-000722-PV1,30.83,Very Poor
SS-000725-PV1,,
SS-000726-PV1,40.25,Poor
SS-000727-PV1,26.5,Very Poor
SS-000728-PV1,54.15,Poor
SS-000729-PV1,68.15,Fair
SS-000730-PV1,74.14,Satisfactory
SS-000731-PV1,76.24,Satisfactory
SS-000732-PV1,65.85,Fair
SS-000733-PV1,33.23,Very Poor
SS-000734-PV1,58.29,Fair
SS-000735-PV1,59.85,Fair
SS-000736-PV1,60.43,Fair
SS-000737-PV1,25.75,Very Poor
SS-000738-PV1,17.05,Serious
SS-000739-PV1,30.07,Very Poor
SS-000740-PV1,91.78,Good
SS-000741-PV1,49.23,Poor
SS-000742-PV1,94.67,Good
